Date,IEFA,IEMG,IJH,IJR,IVV,IWF,IWM,QQQ,RSP,SCHD,SPY,VEA,VGT,VIG,VO,VOO,VTI,VTV,VUG,VWO,VXUS,XLE,XLF,XLG,XLK
2024-06-25,73.04000091552734,53.470001220703125,58.34000015258789,105.25,547.6799926757812,364.5,200.55999755859375,479.3800048828125,164.5800018310547,26.19333267211914,544.8300170898438,49.59000015258789,575.260009765625,184.08999633789062,243.8699951171875,502.510009765625,268.739990234375,161.64999389648438,374.8500061035156,43.790000915527344,60.5,91.48999786376953,41.279998779296875,45.75,226.5
2024-06-26,72.47000122070312,53.34000015258789,58.18000030517578,105.30000305175781,548.52001953125,366.42999267578125,200.02999877929688,480.3699951171875,163.9600067138672,25.809999465942383,545.510009765625,49.2599983215332,576.4099731445312,183.75999450683594,242.27000427246094,503.07000732421875,268.7300109863281,161.14999389648438,376.4700012207031,43.66999816894531,60.13999938964844,90.58999633789062,41.02000045776367,45.9900016784668,226.24000549316406
2024-06-27,72.56999969482422,53.400001525878906,58.369998931884766,105.80000305175781,549.3200073242188,367.2300109863281,202.05999755859375,481.6099853515625,164.16000366210938,25.75666618347168,546.3699951171875,49.380001068115234,577.5599975585938,183.69000244140625,242.25999450683594,503.8500061035156,269.3800048828125,159.94000244140625,377.1099853515625,43.650001525878906,60.25,90.80000305175781,40.970001220703125,46.04999923706055,226.35000610351562
2024-06-28,72.63999938964844,53.529998779296875,58.52000045776367,106.66000366210938,547.22998046875,364.510009765625,202.88999938964844,479.1099853515625,164.27999877929688,25.920000076293945,544.219970703125,49.41999816894531,576.5900268554688,182.5500030517578,242.10000610351562,500.1300048828125,267.510009765625,160.41000366210938,374.010009765625,43.7599983215332,60.29999923706055,91.1500015258789,41.11000061035156,45.75,226.22999572753906
2024-07-01,72.73999786376953,53.63999938964844,57.970001220703125,105.83000183105469,548.4099731445312,367.92999267578125,201.19000244140625,481.9200134277344,162.9499969482422,25.803333282470703,545.3400268554688,49.459999084472656,582.25,182.14999389648438,240.24000549316406,501.2799987792969,268.04998779296875,159.75,376.70001220703125,43.86000061035156,60.369998931884766,91.19999694824219,41.20000076293945,46.130001068115234,227.94000244140625
2024-07-02,72.91999816894531,53.790000915527344,58.150001525878906,106.38999938964844,551.9099731445312,370.9700012207031,201.8800048828125,486.9800109863281,163.67999267578125,25.816667556762695,549.010009765625,49.56999969482422,586.1199951171875,183.27000427246094,241.33999633789062,504.5299987792969,269.6000061035156,160.35000610351562,379.95001220703125,44.02000045776367,60.599998474121094,91.12999725341797,41.68000030517578,46.5,229.0800018310547
2024-07-03,73.77999877929688,54.529998779296875,58.27000045776367,106.33999633789062,554.3300170898438,374.17999267578125,201.8300018310547,491.0400085449219,163.75,25.726667404174805,551.4600219726562,50.15999984741211,592.8900146484375,183.47000122070312,241.55999755859375,506.80999755859375,270.7099914550781,160.47000122070312,382.7699890136719,44.66999816894531,61.31999969482422,91.52999877929688,41.54999923706055,46.84000015258789,232.1699981689453
2024-07-05,74.26000213623047,54.790000915527344,57.900001525878906,105.52999877929688,557.760009765625,378.0,200.8699951171875,496.1600036621094,163.67999267578125,25.67333221435547,554.6400146484375,50.47999954223633,595.9099731445312,183.99000549316406,241.6699981689453,509.8399963378906,272.1199951171875,160.3300018310547,387.3599853515625,44.65999984741211,61.630001068115234,90.0999984741211,41.540000915527344,47.290000915527344,232.8800048828125
2024-07-08,73.9000015258789,54.79999923706055,58.08000183105469,106.22000122070312,558.4099731445312,378.44000244140625,202.27999877929688,497.3399963378906,164.0,25.696666717529297,555.280029296875,50.2599983215332,599.9099731445312,184.11000061035156,242.13999938964844,510.3299865722656,272.489990234375,160.55999755859375,387.3999938964844,44.65999984741211,61.45000076293945,89.55000305175781,41.43000030517578,47.34000015258789,234.47000122070312
2024-07-09,73.62999725341797,54.9900016784668,57.72999954223633,105.54000091552734,558.9299926757812,378.95001220703125,201.39999389648438,497.7699890136719,163.72000122070312,25.703332901000977,555.8200073242188,50.09000015258789,598.6300048828125,183.6699981689453,241.5399932861328,510.8900146484375,272.4200134277344,160.5800018310547,388.3299865722656,44.849998474121094,61.34000015258789,88.76000213623047,41.75,47.45000076293945,234.27999877929688
