Date,AGG,BIL,BND,EDV,IEF,IEI,SGOV,SHV,SHY,TLH,TLT,VGIT
2019-09-11,112.5999984741211,91.4800033569336,83.94000244140625,138.52000427246094,111.7699966430664,126.37000274658203,,110.51000213623047,84.66000366210938,147.75999450683594,140.44000244140625,66.41999816894531
2019-09-12,112.41999816894531,91.5,83.77999877929688,137.27999877929688,111.5199966430664,126.18000030517578,,110.5199966430664,84.63999938964844,147.2100067138672,139.52000427246094,66.30999755859375
2019-09-13,111.75,91.5,83.30000305175781,133.4499969482422,110.5,125.5199966430664,,110.5199966430664,84.5,144.99000549316406,136.5399932861328,65.91000366210938
2019-09-16,112.05000305175781,91.5,83.5199966430664,135.49000549316406,110.9800033569336,125.83999633789062,,110.5199966430664,84.56999969482422,146.13999938964844,138.27999877929688,66.0999984741211
2019-09-17,112.22000122070312,91.51000213623047,83.70999908447266,136.64999389648438,111.2699966430664,126.0199966430664,,110.5199966430664,84.61000061035156,146.75999450683594,139.02999877929688,66.22000122070312
2019-09-18,112.3499984741211,91.52999877929688,83.7699966430664,137.4199981689453,111.30999755859375,125.95999908447266,,110.52999877929688,84.55999755859375,147.1199951171875,139.6199951171875,66.19999694824219
2019-09-19,112.51000213623047,91.52999877929688,83.88999938964844,138.10000610351562,111.36000061035156,126.05999755859375,,110.52999877929688,84.56999969482422,147.35000610351562,140.0399932861328,66.2300033569336
2019-09-20,112.91999816894531,91.54000091552734,84.19000244140625,140.47000122070312,112.0,126.41000366210938,,110.54000091552734,84.66000366210938,148.60000610351562,141.88999938964844,66.44999694824219
2019-09-23,112.97000122070312,91.55999755859375,84.25,140.58999633789062,112.16000366210938,126.55000305175781,,110.55000305175781,84.70999908447266,148.64999389648438,141.86000061035156,66.54000091552734
2019-09-24,113.27999877929688,91.55999755859375,84.54000091552734,142.74000549316406,112.72000122070312,126.94000244140625,,110.55999755859375,84.80000305175781,150.0500030517578,143.57000732421875,66.77999877929688
2019-09-25,112.80999755859375,91.55999755859375,84.13999938964844,139.94000244140625,111.9800033569336,126.44000244140625,,110.56999969482422,84.69000244140625,148.4199981689453,141.47000122070312,66.4800033569336
2019-09-26,113.0,91.58000183105469,84.27999877929688,140.30999755859375,112.22000122070312,126.56999969482422,,110.58999633789062,84.7300033569336,149.02000427246094,142.3800048828125,66.55999755859375
2019-09-27,113.13999938964844,91.58000183105469,84.37000274658203,140.83999633789062,112.37999725341797,126.72000122070312,,110.5999984741211,84.77999877929688,149.3000030517578,142.72999572753906,66.63999938964844
2019-09-30,113.16999816894531,91.58999633789062,84.43000030517578,141.3000030517578,112.47000122070312,126.80000305175781,,110.62000274658203,84.81999969482422,149.47999572753906,143.0800018310547,66.66999816894531
2019-10-01,113.12000274658203,91.44999694824219,84.33000183105469,141.86000061035156,112.61000061035156,126.9000015258789,,110.44000244140625,84.77999877929688,149.6699981689453,143.25999450683594,66.73999786376953
2019-10-02,113.19999694824219,91.44999694824219,84.5199966430664,142.14999389648438,113.0,127.2300033569336,,110.4800033569336,84.87000274658203,150.0500030517578,143.61000061035156,66.91000366210938
